City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Curumani,CO,9.1999,-73.5427,93.33,33,5,4.18,clear sky
321,Estelle,US,29.8458,-90.1067,57.25,42,40,12.66,scattered clouds
322,Axim,GH,4.8699,-2.2405,79.57,81,82,5.61,broken clouds
323,Kruisfontein,ZA,-34.0033,24.7314,61.88,87,12,6.58,light rain
324,Zhigansk,RU,66.7697,123.3711,-11.45,96,90,17.18,overcast clouds
325,Erzin,TR,36.9559,36.2,37.92,74,29,4.79,scattered clouds
326,Bayan,CN,46.0833,127.4,-3.08,92,100,8.19,overcast clouds
327,Broken Hill,AU,-31.95,141.4333,67.71,83,40,14.97,scattered clouds
328,Aklavik,CA,68.2191,-135.0107,-17.57,76,20,3.44,few clouds
329,Bonthe,SL,7.5264,-12.505,79.16,82,78,5.99,broken clouds
330,Fairbanks,US,64.8378,-147.7164,4.96,55,75,8.05,light snow
331,Daru,PG,-9.0763,143.2092,78.31,87,100,7.36,overcast clouds
332,Belem De Sao Francisco,BR,-8.7539,-38.9658,84.67,47,96,7.63,overcast clouds
333,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.96,67,75,16.11,broken clouds
334,Perth,AU,-31.9333,115.8333,75.38,55,0,21.85,clear sky
335,Svetlogorsk,BY,52.6333,29.7333,32.5,98,100,11.92,light snow
336,Leningradskiy,RU,69.3833,178.4167,-11.7,95,79,2.1,broken clouds
337,Oxbow,CA,49.2333,-102.1676,17.55,90,97,4.09,overcast clouds
338,Deputatskiy,RU,69.3,139.9,-25.85,99,100,2.33,overcast clouds
339,Santa Cruz,BO,-17.8,-63.1667,87.85,45,40,16.11,scattered clouds
340,Lata,PT,40.1629,-8.3327,51.06,61,0,4.54,clear sky
341,Labuan,MY,5.2767,115.2417,77.36,94,20,0.0,few clouds
